Company,GHG Scope 1,Total_Assets,Total_Sales,Utility,cluster,k3
APACHE CORP,14952.566666666666,36178.852333333336,10675.4805,0,1,0
BAKER HUGHES CO,373.1666666666667,54286.0,21324.666666666668,0,1,0
CABOT OIL & GAS CORP,530.9,4487.245,2066.277,0,1,0
CHEVRON CORP,64592.857142857145,216105.85714285713,179877.7857142857,0,2,1
CONOCOPHILLIPS,37136.521428571425,121456.21428571429,101670.0,0,2,2
DEVON ENERGY CORP,5530.263636363637,33662.72727272727,11985.818181818182,0,1,0
EOG RESOURCES INC,4668.533333333334,33630.72,15119.67,0,1,0
EXXON MOBIL CORP,127464.28571428571,307906.14285714284,325111.0,0,2,1
HALLIBURTON CO,4562.1,28043.285714285714,23463.14285714286,0,1,0
HESS CORP,4773.108333333334,32208.5,20291.75,0,1,0
HOLLYFRONTIER CORP,5234.0,10821.814250000001,14997.060750000002,0,1,0
MARATHON OIL CORP,7487.333333333333,33807.86666666667,29746.133333333335,0,1,0
MARATHON PETROLEUM CORP,24790.0,46311.6,79998.5,0,2,2
NOV INC,1010.0,19796.0,8453.0,0,1,0
OCCIDENTAL PETROLEUM CORP,11272.013333333334,50992.8,18366.066666666666,0,1,0
ONEOK INC,2591.6666666666665,15790.961583333332,12179.242166666665,0,1,0
PHILLIPS 66,28220.0,53525.2,92829.4,0,2,2
PIONEER NATURAL RESOURCES CO,2002.1,19067.0,9671.0,0,1,0
SCHLUMBERGER LTD,1640.5454545454545,61886.454545454544,35012.818181818184,0,1,0
TECHNIPFMC PLC,491.1333333333334,25522.333333333332,13672.966666666667,0,1,0
VALERO ENERGY CORP,28200.0,43688.0,115374.0,0,2,2
WILLIAMS COS INC,12633.82,41961.8,8134.4,0,1,0
